project.project_id	cases.case_id	cases.submitter_id	samples.sample_id	samples.submitter_id	portions.portion_id	portions.submitter_id	analytes.a260_a280_ratio	analytes.amount	analytes.analyte_id	analytes.analyte_quantity	analytes.analyte_type	analytes.analyte_volume	analytes.concentration	analytes.dna_integrity_number	analytes.experimental_protocol_type	analytes.normal_tumor_genotype_snp_match	analytes.ribosomal_rna_28s_16s_ratio	analytes.ribosomal_rna_28s_18s_ratio	analytes.rna_integrity_number	analytes.spectrophotometer_method	analytes.state	analytes.submitter_id	analytes.well_number
TCGA-PRAD	5313a055-c2d7-4cbd-a8c1-57ac85912d89	TCGA-EJ-5519	0ed92655-c273-4638-98f7-0bee62811238	TCGA-EJ-5519-10A	ab2b6736-870a-4186-98bb-a6050d73487f	TCGA-EJ-5519-10A-01	'--	'--	0192034c-6d0d-4708-af24-5016b838e7ce	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	'--	UV Spec	released	TCGA-EJ-5519-10A-01W	'--
TCGA-PRAD	5313a055-c2d7-4cbd-a8c1-57ac85912d89	TCGA-EJ-5519	0ed92655-c273-4638-98f7-0bee62811238	TCGA-EJ-5519-10A	ab2b6736-870a-4186-98bb-a6050d73487f	TCGA-EJ-5519-10A-01	1.9	'--	9fccbc8e-2e75-4cf0-8b1d-7c71f890ab8c	'--	DNA	'--	0.17	'--	Chemical Lysis DNA Extraction	Yes	'--	'--	'--	UV Spec	released	TCGA-EJ-5519-10A-01D	'--
TCGA-PRAD	5313a055-c2d7-4cbd-a8c1-57ac85912d89	TCGA-EJ-5519	eee1828e-d25f-462b-9735-89ca2eccc7e1	TCGA-EJ-5519-01A	b6540eb8-9096-4f43-a816-220c8a8d27b7	TCGA-EJ-5519-01A-01	'--	'--	273d4a00-0de7-4f71-9968-29ad55d6f0a8	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	Repli-G	Yes	'--	'--	'--	UV Spec	released	TCGA-EJ-5519-01A-01W	'--
TCGA-PRAD	5313a055-c2d7-4cbd-a8c1-57ac85912d89	TCGA-EJ-5519	eee1828e-d25f-462b-9735-89ca2eccc7e1	TCGA-EJ-5519-01A	b6540eb8-9096-4f43-a816-220c8a8d27b7	TCGA-EJ-5519-01A-01	1.8	'--	3887e469-587f-418a-8bd8-0b9898c93409	'--	RNA	'--	0.15	'--	mirVana (Allprep DNA) RNA	Yes	1.91	'--	9.2	UV Spec	released	TCGA-EJ-5519-01A-01R	'--
TCGA-PRAD	5313a055-c2d7-4cbd-a8c1-57ac85912d89	TCGA-EJ-5519	eee1828e-d25f-462b-9735-89ca2eccc7e1	TCGA-EJ-5519-01A	b6540eb8-9096-4f43-a816-220c8a8d27b7	TCGA-EJ-5519-01A-01	1.9	'--	d4f50758-2c40-499e-810c-92d17a3644c2	'--	DNA	'--	0.15	'--	aDNA Preparation Type	Yes	'--	'--	'--	UV Spec	released	TCGA-EJ-5519-01A-01D	'--
TCGA-PRAD	28689d40-03e5-4e17-aba1-f2d571535eed	TCGA-EJ-7792	122ba6ac-d32c-4656-a055-e53381fbac8a	TCGA-EJ-7792-10A	cde3891b-e1a5-45cf-9b7a-4ba56e9d3cac	TCGA-EJ-7792-10A-01	'--	'--	6f9fa38d-0f75-45ca-bd28-f0758254546a	'--	DNA	'--	0.16	'--	'--	'--	'--	'--	'--	PicoGreen	released	TCGA-EJ-7792-10A-01D	'--
TCGA-PRAD	28689d40-03e5-4e17-aba1-f2d571535eed	TCGA-EJ-7792	122ba6ac-d32c-4656-a055-e53381fbac8a	TCGA-EJ-7792-10A	cde3891b-e1a5-45cf-9b7a-4ba56e9d3cac	TCGA-EJ-7792-10A-01	'--	'--	cce00464-cb8d-4b18-913e-2d31cfc85db4	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	'--	'--	'--	'--	'--	PicoGreen	released	TCGA-EJ-7792-10A-01W	'--
TCGA-PRAD	28689d40-03e5-4e17-aba1-f2d571535eed	TCGA-EJ-7792	847ee47b-680e-49f4-be5c-e7ed4eba2af8	TCGA-EJ-7792-11A	d4d47fce-ec6d-4c24-85f9-893e07c49ae0	TCGA-EJ-7792-11A-01	'--	'--	02b2b280-dca7-4781-9ae6-55c8605e7d8f	'--	DNA	'--	0.14	'--	'--	'--	'--	'--	'--	PicoGreen	released	TCGA-EJ-7792-11A-01D	'--
TCGA-PRAD	28689d40-03e5-4e17-aba1-f2d571535eed	TCGA-EJ-7792	847ee47b-680e-49f4-be5c-e7ed4eba2af8	TCGA-EJ-7792-11A	d4d47fce-ec6d-4c24-85f9-893e07c49ae0	TCGA-EJ-7792-11A-01	'--	'--	1573e0e3-c372-48ac-a6d2-146b88117ddc	'--	RNA	'--	0.15	'--	'--	'--	'--	'--	'--	UV Spec	released	TCGA-EJ-7792-11A-01R	'--
TCGA-PRAD	28689d40-03e5-4e17-aba1-f2d571535eed	TCGA-EJ-7792	847ee47b-680e-49f4-be5c-e7ed4eba2af8	TCGA-EJ-7792-11A	d4d47fce-ec6d-4c24-85f9-893e07c49ae0	TCGA-EJ-7792-11A-01	'--	'--	fc717540-23a8-4553-9b97-23fee3e4b5c1	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	'--	'--	'--	'--	'--	PicoGreen	released	TCGA-EJ-7792-11A-01W	'--
TCGA-PRAD	28689d40-03e5-4e17-aba1-f2d571535eed	TCGA-EJ-7792	c6843072-01b3-445f-a093-43b97c967dd9	TCGA-EJ-7792-01A	e919a572-ee9b-4a0f-b3b2-88da50c07432	TCGA-EJ-7792-01A-11	'--	'--	737dc4ed-457a-4601-8672-f9d82dc6d5c5	'--	DNA	'--	0.14	'--	'--	'--	'--	'--	'--	PicoGreen	released	TCGA-EJ-7792-01A-11D	'--
TCGA-PRAD	28689d40-03e5-4e17-aba1-f2d571535eed	TCGA-EJ-7792	c6843072-01b3-445f-a093-43b97c967dd9	TCGA-EJ-7792-01A	e919a572-ee9b-4a0f-b3b2-88da50c07432	TCGA-EJ-7792-01A-11	'--	'--	a3aa871b-734e-4530-be83-e37506a4ee52	'--	RNA	'--	0.15	'--	'--	'--	'--	'--	'--	UV Spec	released	TCGA-EJ-7792-01A-11R	'--
TCGA-PRAD	28689d40-03e5-4e17-aba1-f2d571535eed	TCGA-EJ-7792	c6843072-01b3-445f-a093-43b97c967dd9	TCGA-EJ-7792-01A	e919a572-ee9b-4a0f-b3b2-88da50c07432	TCGA-EJ-7792-01A-11	'--	'--	b97f86e7-430a-457e-8da6-7892aae26c97	'--	Repli-G (Qiagen) DNA	'--	0.5	'--	'--	'--	'--	'--	'--	PicoGreen	released	TCGA-EJ-7792-01A-11W	'--
TCGA-PRAD	00dda860-53c3-4ab2-8294-73e291adf9d2	TCGA-EJ-7312	3ea3bcfc-2030-4d0b-b9b2-840a9ad1acaf	TCGA-EJ-7312-01B	5acc7363-b1d3-4de6-add0-2cf408a615da	TCGA-EJ-7312-01B-21	'--	'--	575806c3-44b2-4425-bea5-b60f6079bb49	'--	DNA	'--	0.15	'--	aDNA Preparation Type	Yes	'--	'--	'--	PicoGreen	released	TCGA-EJ-7312-01B-21D	'--
TCGA-PRAD	00dda860-53c3-4ab2-8294-73e291adf9d2	TCGA-EJ-7312	3ea3bcfc-2030-4d0b-b9b2-840a9ad1acaf	TCGA-EJ-7312-01B	5acc7363-b1d3-4de6-add0-2cf408a615da	TCGA-EJ-7312-01B-21	'--	'--	a58c7f87-6d3d-447a-8aef-2769cdca378e	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	'--	released	TCGA-EJ-7312-01B-21W	'--
TCGA-PRAD	00dda860-53c3-4ab2-8294-73e291adf9d2	TCGA-EJ-7312	3ea3bcfc-2030-4d0b-b9b2-840a9ad1acaf	TCGA-EJ-7312-01B	5acc7363-b1d3-4de6-add0-2cf408a615da	TCGA-EJ-7312-01B-21	1.85	'--	db974728-7cbb-49dc-b193-a0928e926c91	'--	RNA	'--	0.17	'--	mirVana (Allprep DNA) RNA	Yes	1.34	'--	8.1	UV Spec	released	TCGA-EJ-7312-01B-21R	'--
TCGA-PRAD	00dda860-53c3-4ab2-8294-73e291adf9d2	TCGA-EJ-7312	444cf88f-a993-4976-b2c9-b9d1d0e18247	TCGA-EJ-7312-10A	7387688d-da62-4333-9d9f-7ddea7fb4589	TCGA-EJ-7312-10A-01	'--	'--	d98aad55-a3d1-47f8-96bc-65572ba495c2	'--	Repli-G (Qiagen) DNA	'--	'--	'--	Repli-G	Yes	'--	'--	'--	'--	released	TCGA-EJ-7312-10A-01W	'--
TCGA-PRAD	00dda860-53c3-4ab2-8294-73e291adf9d2	TCGA-EJ-7312	444cf88f-a993-4976-b2c9-b9d1d0e18247	TCGA-EJ-7312-10A	7387688d-da62-4333-9d9f-7ddea7fb4589	TCGA-EJ-7312-10A-01	'--	'--	fdfbc590-2990-418b-b51d-a64e43e0522e	'--	DNA	'--	0.14	'--	aDNA Preparation Type	Yes	'--	'--	'--	PicoGreen	released	TCGA-EJ-7312-10A-01D	'--
